population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,196,South Africa,3,Both,16,55-59 years,298,HIV/AIDS,3,Rate,2023,449.93106198808874,596.6573763310238,298.03995956391964
1,All Population,1,Deaths,196,South Africa,3,Both,17,60-64 years,298,HIV/AIDS,1,Number,2023,6736.987113329854,9349.490369199191,4299.903023584505
1,All Population,1,Deaths,196,South Africa,3,Both,17,60-64 years,298,HIV/AIDS,2,Percent,2023,0.14168251230588785,0.19868312084303566,0.09035339465410876
1,All Population,1,Deaths,196,South Africa,3,Both,17,60-64 years,298,HIV/AIDS,3,Rate,2023,306.94231363259775,425.969970987413,195.90688838389218
1,All Population,1,Deaths,196,South Africa,3,Both,18,65-69 years,298,HIV/AIDS,1,Number,2023,4298.4148529356235,6273.6163793644055,2703.490897515552
1,All Population,1,Deaths,196,South Africa,3,Both,18,65-69 years,298,HIV/AIDS,2,Percent,2023,0.08138147965241375,0.11733094806560763,0.050069585403315964
1,All Population,1,Deaths,196,South Africa,3,Both,18,65-69 years,298,HIV/AIDS,3,Rate,2023,254.37676500524887,371.2676170325343,159.99043653533616
1,All Population,1,Deaths,196,South Africa,3,Both,19,70-74 years,298,HIV/AIDS,1,Number,2023,2159.4673822027653,3172.632070721341,1312.7350058796162
1,All Population,1,Deaths,196,South Africa,3,Both,19,70-74 years,298,HIV/AIDS,2,Percent,2023,0.05002284419225256,0.07338020669341512,0.030894078224028777
1,All Population,1,Deaths,196,South Africa,3,Both,19,70-74 years,298,HIV/AIDS,3,Rate,2023,192.23349253978424,282.4243369105098,116.85827581339117
1,All Population,1,Deaths,196,South Africa,3,Both,20,75-79 years,298,HIV/AIDS,1,Number,2023,1191.73586100087,1813.0126001278688,719.4403363455409
1,All Population,1,Deaths,196,South Africa,3,Both,20,75-79 years,298,HIV/AIDS,2,Percent,2023,0.027882425037175612,0.04198760235162827,0.016576242413261406
1,All Population,1,Deaths,196,South Africa,3,Both,20,75-79 years,298,HIV/AIDS,3,Rate,2023,171.98110794785654,261.63844346477,103.82346474257385
1,All Population,1,Deaths,196,South Africa,3,Both,21,80+ years,298,HIV/AIDS,1,Number,2023,735.9301526030335,1103.2805037644882,432.5298470511244
1,All Population,1,Deaths,196,South Africa,3,Both,21,80+ years,298,HIV/AIDS,2,Percent,2023,0.009487992285733257,0.014584354500703306,0.005678278330112536
1,All Population,1,Deaths,196,South Africa,3,Both,21,80+ years,298,HIV/AIDS,3,Rate,2023,100.69340432095059,150.95599691361485,59.18075596705514
1,All Population,1,Deaths,196,South Africa,3,Both,22,All ages,298,HIV/AIDS,1,Number,2023,114746.655540365,143238.0816483006,86248.88421484915
1,All Population,1,Deaths,196,South Africa,3,Both,22,All ages,298,HIV/AIDS,2,Percent,2023,0.20076093284477992,0.2502245541950823,0.1511612833529185
1,All Population,1,Deaths,196,South Africa,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2023,179.10862818358018,223.58103760723486,134.62631447808846
1,All Population,1,Deaths,196,South Africa,3,Both,23,5-14 years,298,HIV/AIDS,1,Number,2023,1068.0089445820856,1377.8281453242864,803.3252888582181
1,All Population,1,Deaths,196,South Africa,3,Both,23,5-14 years,298,HIV/AIDS,2,Percent,2023,0.19080159012440023,0.23942535971747117,0.1461342505017163
1,All Population,1,Deaths,196,South Africa,3,Both,23,5-14 years,298,HIV/AIDS,3,Rate,2023,9.827625312914433,12.678525612099092,7.392054142745558
1,All Population,1,Deaths,196,South Africa,3,Both,24,15-49 years,298,HIV/AIDS,1,Number,2023,71494.53336024353,86763.23268071664,55782.560156584615
